dataset	sample	ambient	origin
VLP_HanniganG_2015	MG100125	HUMAN	SKIN
VLP_HanniganG_2015	MG100103	HUMAN	SKIN
VLP_HanniganG_2015	MG100102	HUMAN	SKIN
VLP_HanniganG_2015	MG100198	HUMAN	SKIN
VLP_HanniganG_2015	MG100099	HUMAN	SKIN
VLP_HanniganG_2015	MG100104	HUMAN	SKIN
VLP_HanniganG_2015	MG100487	HUMAN	SKIN
VLP_HanniganG_2015	MG100126	HUMAN	SKIN
VLP_HanniganG_2015	MG100127	HUMAN	SKIN
VLP_HanniganG_2015	MG100122	HUMAN	SKIN
VLP_HanniganG_2015	MG100100	HUMAN	SKIN
VLP_HanniganG_2015	MG100207	HUMAN	SKIN
VLP_HanniganG_2015	MG100098	HUMAN	SKIN
VLP_HanniganG_2015	MG100215	HUMAN	SKIN
VLP_HanniganG_2015	MG100107	HUMAN	SKIN
VLP_HanniganG_2015	MG100422	HUMAN	SKIN
VLP_HanniganG_2015	MG100201	HUMAN	SKIN
VLP_HanniganG_2015	MG100105	HUMAN	SKIN
VLP_HanniganG_2015	MG100632	HUMAN	SKIN
VLP_HanniganG_2015	MG100448	HUMAN	SKIN
VLP_HanniganG_2015	MG100106	HUMAN	SKIN
VLP_HanniganG_2015	MG100417	HUMAN	SKIN
VLP_HanniganG_2015	MG100415	HUMAN	SKIN
VLP_HanniganG_2015	MG100123	HUMAN	SKIN
VLP_HanniganG_2015	MG100483	HUMAN	SKIN
VLP_HanniganG_2015	MG100212	HUMAN	SKIN
VLP_HanniganG_2015	MG100254	HUMAN	SKIN
VLP_HanniganG_2015	MG100200	HUMAN	SKIN
VLP_HanniganG_2015	MG100195	HUMAN	SKIN
VLP_HanniganG_2015	MG100278	HUMAN	SKIN
VLP_HanniganG_2015	MG100108	HUMAN	SKIN
VLP_HanniganG_2015	MG100281	HUMAN	SKIN
VLP_HanniganG_2015	MG100208	HUMAN	SKIN
VLP_HanniganG_2015	MG100214	HUMAN	SKIN
VLP_HanniganG_2015	MG100244	HUMAN	SKIN
VLP_HanniganG_2015	MG100266	HUMAN	SKIN
VLP_HanniganG_2015	MG100114	HUMAN	SKIN
VLP_HanniganG_2015	MG100117	HUMAN	SKIN
VLP_HanniganG_2015	MG100302	HUMAN	SKIN
VLP_HanniganG_2015	MG100199	HUMAN	SKIN
VLP_HanniganG_2015	MG100613	HUMAN	SKIN
VLP_HanniganG_2015	MG100216	HUMAN	SKIN
VLP_HanniganG_2015	MG100202	HUMAN	SKIN
VLP_HanniganG_2015	MG100111	HUMAN	SKIN
VLP_HanniganG_2015	MG100113	HUMAN	SKIN
VLP_HanniganG_2015	MG100203	HUMAN	SKIN
VLP_HanniganG_2015	MG100280	HUMAN	SKIN
VLP_HanniganG_2015	MG100109	HUMAN	SKIN
VLP_HanniganG_2015	MG100256	HUMAN	SKIN
VLP_HanniganG_2015	MG100197	HUMAN	SKIN
VLP_HanniganG_2015	MG100484	HUMAN	SKIN
VLP_HanniganG_2015	MG100257	HUMAN	SKIN
VLP_HanniganG_2015	MG100664	HUMAN	SKIN
VLP_HanniganG_2015	MG100423	HUMAN	SKIN
VLP_HanniganG_2015	MG100504	HUMAN	SKIN
VLP_HanniganG_2015	MG100206	HUMAN	SKIN
VLP_HanniganG_2015	MG100205	HUMAN	SKIN
VLP_HanniganG_2015	MG100259	HUMAN	SKIN
VLP_HanniganG_2015	MG100296	HUMAN	SKIN
VLP_HanniganG_2015	MG100647	HUMAN	SKIN
VLP_HanniganG_2015	MG100313	HUMAN	SKIN
VLP_HanniganG_2015	MG100210	HUMAN	SKIN
VLP_HanniganG_2015	MG100124	HUMAN	SKIN
VLP_HanniganG_2015	MG100119	HUMAN	SKIN
VLP_HanniganG_2015	MG100648	HUMAN	SKIN
VLP_HanniganG_2015	MG100299	HUMAN	SKIN
VLP_HanniganG_2015	MG100666	HUMAN	SKIN
VLP_HanniganG_2015	MG100311	HUMAN	SKIN
VLP_HanniganG_2015	MG100209	HUMAN	SKIN
VLP_HanniganG_2015	MG100211	HUMAN	SKIN
VLP_HanniganG_2015	MG100213	HUMAN	SKIN
VLP_HanniganG_2015	MG100115	HUMAN	SKIN
VLP_HanniganG_2015	MG100116	HUMAN	SKIN
VLP_HanniganG_2015	MG100233	HUMAN	SKIN
VLP_HanniganG_2015	MG100245	HUMAN	SKIN
VLP_HanniganG_2015	MG100255	HUMAN	SKIN
VLP_HanniganG_2015	MG100616	HUMAN	SKIN
VLP_HanniganG_2015	MG100260	HUMAN	SKIN
VLP_HanniganG_2015	MG100312	HUMAN	SKIN
VLP_HanniganG_2015	MG100636	HUMAN	SKIN
VLP_HanniganG_2015	MG100473	HUMAN	SKIN
VLP_HanniganG_2015	MG100497	HUMAN	SKIN
VLP_HanniganG_2015	MG100265	HUMAN	SKIN
VLP_HanniganG_2015	MG100292	HUMAN	SKIN
VLP_HanniganG_2015	MG100112	HUMAN	SKIN
VLP_HanniganG_2015	MG100495	HUMAN	SKIN
VLP_HanniganG_2015	MG100293	HUMAN	SKIN
VLP_HanniganG_2015	MG100441	HUMAN	SKIN
VLP_HanniganG_2015	MG100424	HUMAN	SKIN
VLP_HanniganG_2015	MG100263	HUMAN	SKIN
VLP_HanniganG_2015	MG100687	HUMAN	SKIN
VLP_HanniganG_2015	MG100686	HUMAN	SKIN
VLP_HanniganG_2015	MG100634	HUMAN	SKIN
VLP_HanniganG_2015	MG100258	HUMAN	SKIN
VLP_HanniganG_2015	MG100506	HUMAN	SKIN
VLP_HanniganG_2015	MG100243	HUMAN	SKIN
VLP_HanniganG_2015	MG100309	HUMAN	SKIN
VLP_HanniganG_2015	MG100261	HUMAN	SKIN
VLP_HanniganG_2015	MG100450	HUMAN	SKIN
VLP_HanniganG_2015	MG100251	HUMAN	SKIN
VLP_HanniganG_2015	MG100472	HUMAN	SKIN
VLP_HanniganG_2015	MG100607	HUMAN	SKIN
VLP_HanniganG_2015	MG100491	HUMAN	SKIN
VLP_HanniganG_2015	MG100503	HUMAN	SKIN
VLP_HanniganG_2015	MG100284	HUMAN	SKIN
VLP_HanniganG_2015	MG100269	HUMAN	SKIN
VLP_HanniganG_2015	MG100314	HUMAN	SKIN
VLP_HanniganG_2015	MG100474	HUMAN	SKIN
VLP_HanniganG_2015	MG100485	HUMAN	SKIN
VLP_HanniganG_2015	MG100279	HUMAN	SKIN
VLP_HanniganG_2015	MG100684	HUMAN	SKIN
VLP_HanniganG_2015	MG100678	HUMAN	SKIN
VLP_HanniganG_2015	MG100640	HUMAN	SKIN
VLP_HanniganG_2015	MG100291	HUMAN	SKIN
VLP_HanniganG_2015	MG100669	HUMAN	SKIN
VLP_HanniganG_2015	MG100118	HUMAN	SKIN
VLP_HanniganG_2015	MG100623	HUMAN	SKIN
VLP_HanniganG_2015	MG100308	HUMAN	SKIN
VLP_HanniganG_2015	MG100688	HUMAN	SKIN
VLP_HanniganG_2015	MG100468	HUMAN	SKIN
VLP_HanniganG_2015	MG100232	HUMAN	SKIN
VLP_HanniganG_2015	MG100303	HUMAN	SKIN
VLP_HanniganG_2015	MG100480	HUMAN	SKIN
VLP_HanniganG_2015	MG100502	HUMAN	SKIN
VLP_HanniganG_2015	MG100426	HUMAN	SKIN
VLP_HanniganG_2015	MG100234	HUMAN	SKIN
VLP_HanniganG_2015	MG100619	HUMAN	SKIN
VLP_HanniganG_2015	MG100676	HUMAN	SKIN
VLP_HanniganG_2015	MG100476	HUMAN	SKIN
VLP_HanniganG_2015	MG100486	HUMAN	SKIN
VLP_HanniganG_2015	MG100671	HUMAN	SKIN
VLP_HanniganG_2015	MG100501	HUMAN	SKIN
VLP_HanniganG_2015	MG100682	HUMAN	SKIN
VLP_HanniganG_2015	MG100631	HUMAN	SKIN
VLP_HanniganG_2015	MG100639	HUMAN	SKIN
VLP_HanniganG_2015	MG100220	HUMAN	SKIN
VLP_HanniganG_2015	MG100231	HUMAN	SKIN
VLP_HanniganG_2015	MG100622	HUMAN	SKIN
VLP_HanniganG_2015	MG100646	HUMAN	SKIN
VLP_HanniganG_2015	MG100425	HUMAN	SKIN
VLP_HanniganG_2015	MG100237	HUMAN	SKIN
VLP_HanniganG_2015	MG100305	HUMAN	SKIN
VLP_HanniganG_2015	MG100290	HUMAN	SKIN
VLP_HanniganG_2015	MG100455	HUMAN	SKIN
VLP_HanniganG_2015	MG100447	HUMAN	SKIN
VLP_HanniganG_2015	MG100264	HUMAN	SKIN
VLP_HanniganG_2015	MG100236	HUMAN	SKIN
