dataset	sample	ambient	origin
VLP_HanniganG_2015	MG100489	HUMAN	SKIN
VLP_HanniganG_2015	MG100442	HUMAN	SKIN
VLP_HanniganG_2015	MG100434	HUMAN	SKIN
VLP_HanniganG_2015	MG100624	HUMAN	SKIN
VLP_HanniganG_2015	MG100464	HUMAN	SKIN
VLP_HanniganG_2015	MG100301	HUMAN	SKIN
VLP_HanniganG_2015	MG100451	HUMAN	SKIN
VLP_HanniganG_2015	MG100660	HUMAN	SKIN
VLP_HanniganG_2015	MG100662	HUMAN	SKIN
VLP_HanniganG_2015	MG100481	HUMAN	SKIN
VLP_HanniganG_2015	MG100665	HUMAN	SKIN
VLP_HanniganG_2015	MG100627	HUMAN	SKIN
VLP_HanniganG_2015	MG100477	HUMAN	SKIN
VLP_HanniganG_2015	MG100306	HUMAN	SKIN
VLP_HanniganG_2015	MG100614	HUMAN	SKIN
VLP_HanniganG_2015	MG100494	HUMAN	SKIN
VLP_HanniganG_2015	MG100452	HUMAN	SKIN
VLP_HanniganG_2015	MG100268	HUMAN	SKIN
VLP_HanniganG_2015	MG100629	HUMAN	SKIN
VLP_HanniganG_2015	MG100478	HUMAN	SKIN
VLP_HanniganG_2015	MG100661	HUMAN	SKIN
VLP_HanniganG_2015	MG100683	HUMAN	SKIN
VLP_HanniganG_2015	MG100465	HUMAN	SKIN
VLP_HanniganG_2015	MG100411	HUMAN	SKIN
VLP_HanniganG_2015	MG100626	HUMAN	SKIN
VLP_HanniganG_2015	MG100228	HUMAN	SKIN
VLP_HanniganG_2015	MG100419	HUMAN	SKIN
VLP_HanniganG_2015	MG100505	HUMAN	SKIN
VLP_HanniganG_2015	MG100230	HUMAN	SKIN
VLP_HanniganG_2015	MG100621	HUMAN	SKIN
VLP_HanniganG_2015	MG100655	HUMAN	SKIN
VLP_HanniganG_2015	MG100286	HUMAN	SKIN
VLP_HanniganG_2015	MG100430	HUMAN	SKIN
VLP_HanniganG_2015	MG100605	HUMAN	SKIN
VLP_HanniganG_2015	MG100658	HUMAN	SKIN
VLP_HanniganG_2015	MG100500	HUMAN	SKIN
VLP_HanniganG_2015	MG100297	HUMAN	SKIN
VLP_HanniganG_2015	MG100437	HUMAN	SKIN
VLP_HanniganG_2015	MG100667	HUMAN	SKIN
VLP_HanniganG_2015	MG100438	HUMAN	SKIN
VLP_HanniganG_2015	MG100615	HUMAN	SKIN
VLP_HanniganG_2015	MG100440	HUMAN	SKIN
VLP_HanniganG_2015	MG100227	HUMAN	SKIN
VLP_HanniganG_2015	MG100428	HUMAN	SKIN
VLP_HanniganG_2015	MG100466	HUMAN	SKIN
VLP_HanniganG_2015	MG100443	HUMAN	SKIN
VLP_HanniganG_2015	MG100654	HUMAN	SKIN
VLP_HanniganG_2015	MG100670	HUMAN	SKIN
VLP_HanniganG_2015	MG100659	HUMAN	SKIN
VLP_HanniganG_2015	MG100445	HUMAN	SKIN
VLP_HanniganG_2015	MG100229	HUMAN	SKIN
VLP_HanniganG_2015	MG100618	HUMAN	SKIN
VLP_HanniganG_2015	MG100462	HUMAN	SKIN
VLP_HanniganG_2015	MG100679	HUMAN	SKIN
VLP_HanniganG_2015	MG100420	HUMAN	SKIN
VLP_HanniganG_2015	MG100651	HUMAN	SKIN
VLP_HanniganG_2015	MG100657	HUMAN	SKIN
VLP_HanniganG_2015	MG100608	HUMAN	SKIN
VLP_HanniganG_2015	MG100298	HUMAN	SKIN
VLP_HanniganG_2015	MG100432	HUMAN	SKIN
VLP_HanniganG_2015	MG100300	HUMAN	SKIN
VLP_HanniganG_2015	MG100680	HUMAN	SKIN
VLP_HanniganG_2015	MG100219	HUMAN	SKIN
VLP_HanniganG_2015	MG100638	HUMAN	SKIN
VLP_HanniganG_2015	MG100604	HUMAN	SKIN
VLP_HanniganG_2015	MG100226	HUMAN	SKIN
VLP_HanniganG_2015	MG100414	HUMAN	SKIN
VLP_HanniganG_2015	MG100467	HUMAN	SKIN
VLP_HanniganG_2015	MG100459	HUMAN	SKIN
VLP_HanniganG_2015	MG100470	HUMAN	SKIN
VLP_HanniganG_2015	MG100606	HUMAN	SKIN
VLP_HanniganG_2015	MG100454	HUMAN	SKIN
VLP_HanniganG_2015	MG100421	HUMAN	SKIN
VLP_HanniganG_2015	MG100221	HUMAN	SKIN
VLP_HanniganG_2015	MG100637	HUMAN	SKIN
VLP_HanniganG_2015	MG100222	HUMAN	SKIN
VLP_HanniganG_2015	MG100469	HUMAN	SKIN
VLP_HanniganG_2015	MG100463	HUMAN	SKIN
VLP_HanniganG_2015	MG100225	HUMAN	SKIN
VLP_HanniganG_2015	MG100224	HUMAN	SKIN
VLP_HanniganG_2015	MG100267	HUMAN	SKIN
VLP_HanniganG_2015	MG100413	HUMAN	SKIN
VLP_HanniganG_2015	MG100488	HUMAN	SKIN
VLP_HanniganG_2015	MG100273	HUMAN	SKIN
VLP_HanniganGD_2017	MG100210	HUMAN	STOOL
VLP_HanniganGD_2017	MG100049	HUMAN	STOOL
VLP_HanniganGD_2017	MG100104	HUMAN	STOOL
VLP_HanniganGD_2017	MG100115	HUMAN	STOOL
VLP_HanniganGD_2017	MG100102	HUMAN	STOOL
VLP_HanniganGD_2017	MG100211	HUMAN	STOOL
VLP_HanniganGD_2017	MG100112	HUMAN	STOOL
VLP_HanniganGD_2017	MG100099	HUMAN	STOOL
VLP_HanniganGD_2017	MG100216	HUMAN	STOOL
VLP_HanniganGD_2017	MG100103	HUMAN	STOOL
VLP_HanniganGD_2017	MG100218	HUMAN	STOOL
VLP_HanniganGD_2017	MG100090	HUMAN	STOOL
VLP_HanniganGD_2017	MG100214	HUMAN	STOOL
VLP_HanniganGD_2017	MG100060	HUMAN	STOOL
VLP_HanniganGD_2017	MG100048	HUMAN	STOOL
VLP_HanniganGD_2017	MG100220	HUMAN	STOOL
VLP_HanniganGD_2017	MG100212	HUMAN	STOOL
VLP_HanniganGD_2017	MG100217	HUMAN	STOOL
VLP_HanniganGD_2017	MG100096	HUMAN	STOOL
VLP_HanniganGD_2017	MG100087	HUMAN	STOOL
VLP_HanniganGD_2017	MG100067	HUMAN	STOOL
VLP_HanniganGD_2017	MG100074	HUMAN	STOOL
VLP_HanniganGD_2017	MG100098	HUMAN	STOOL
VLP_HanniganGD_2017	MG100044	HUMAN	STOOL
VLP_HanniganGD_2017	MG100040	HUMAN	STOOL
VLP_HanniganGD_2017	MG100215	HUMAN	STOOL
VLP_HanniganGD_2017	MG100043	HUMAN	STOOL
VLP_HanniganGD_2017	MG100219	HUMAN	STOOL
VLP_HanniganGD_2017	MG100075	HUMAN	STOOL
VLP_HanniganGD_2017	MG100066	HUMAN	STOOL
VLP_HanniganGD_2017	MG100046	HUMAN	STOOL
VLP_HanniganGD_2017	MG100100	HUMAN	STOOL
VLP_HanniganGD_2017	MG100077	HUMAN	STOOL
VLP_HanniganGD_2017	MG100092	HUMAN	STOOL
VLP_HanniganGD_2017	MG100113	HUMAN	STOOL
VLP_HanniganGD_2017	MG100055	HUMAN	STOOL
VLP_HanniganGD_2017	MG100085	HUMAN	STOOL
VLP_HanniganGD_2017	MG100082	HUMAN	STOOL
VLP_HanniganGD_2017	MG100057	HUMAN	STOOL
VLP_HanniganGD_2017	MG100042	HUMAN	STOOL
VLP_HanniganGD_2017	MG100114	HUMAN	STOOL
VLP_HanniganGD_2017	MG100094	HUMAN	STOOL
VLP_HanniganGD_2017	MG100116	HUMAN	STOOL
VLP_HanniganGD_2017	MG100054	HUMAN	STOOL
VLP_HanniganGD_2017	MG100106	HUMAN	STOOL
VLP_HanniganGD_2017	MG100088	HUMAN	STOOL
VLP_HanniganGD_2017	MG100084	HUMAN	STOOL
VLP_HanniganGD_2017	MG100073	HUMAN	STOOL
VLP_HanniganGD_2017	MG100053	HUMAN	STOOL
VLP_HanniganGD_2017	MG100050	HUMAN	STOOL
VLP_HanniganGD_2017	MG100117	HUMAN	STOOL
VLP_HanniganGD_2017	MG100080	HUMAN	STOOL
VLP_HanniganGD_2017	MG100111	HUMAN	STOOL
VLP_HanniganGD_2017	MG100064	HUMAN	STOOL
VLP_HanniganGD_2017	MG100045	HUMAN	STOOL
VLP_HanniganGD_2017	MG100083	HUMAN	STOOL
VLP_HanniganGD_2017	MG100081	HUMAN	STOOL
VLP_HanniganGD_2017	MG100109	HUMAN	STOOL
VLP_HanniganGD_2017	MG100091	HUMAN	STOOL
VLP_HanniganGD_2017	MG100069	HUMAN	STOOL
VLP_HanniganGD_2017	MG100041	HUMAN	STOOL
VLP_HanniganGD_2017	MG100063	HUMAN	STOOL
VLP_HanniganGD_2017	MG100120	HUMAN	STOOL
VLP_HanniganGD_2017	MG100072	HUMAN	STOOL
VLP_HanniganGD_2017	MG100078	HUMAN	STOOL
VLP_HanniganGD_2017	MG100070	HUMAN	STOOL
VLP_HanniganGD_2017	MG100062	HUMAN	STOOL
VLP_HanniganGD_2017	MG100118	HUMAN	STOOL
VLP_HanniganGD_2017	MG100061	HUMAN	STOOL
VLP_HanniganGD_2017	MG100101	HUMAN	STOOL
VLP_HanniganGD_2017	MG100076	HUMAN	STOOL
VLP_HanniganGD_2017	MG100052	HUMAN	STOOL
VLP_HanniganGD_2017	MG100068	HUMAN	STOOL
VLP_HanniganGD_2017	MG100058	HUMAN	STOOL
VLP_HanniganGD_2017	MG100056	HUMAN	STOOL
VLP_HanniganGD_2017	MG100086	HUMAN	STOOL
VLP_HanniganGD_2017	MG100124	HUMAN	STOOL
VLP_HanniganGD_2017	MG100089	HUMAN	STOOL
VLP_HanniganGD_2017	MG100047	HUMAN	STOOL
VLP_HanniganGD_2017	MG100122	HUMAN	STOOL
VLP_HanniganGD_2017	MG100213	HUMAN	STOOL
VLP_HanniganGD_2017	MG100079	HUMAN	STOOL
VLP_HanniganGD_2017	MG100051	HUMAN	STOOL
VLP_HanniganGD_2017	MG100059	HUMAN	STOOL
VLP_HanniganGD_2017	MG100107	HUMAN	STOOL
VLP_HanniganGD_2017	MG100065	HUMAN	STOOL
VLP_HanniganGD_2017	MG100119	HUMAN	STOOL
VLP_HanniganGD_2017	MG100093	HUMAN	STOOL
VLP_HanniganGD_2017	MG100110	HUMAN	STOOL
VLP_HanniganGD_2017	MG100123	HUMAN	STOOL
VLP_HanniganGD_2017	MG100105	HUMAN	STOOL
VLP_HanniganGD_2017	MG100071	HUMAN	STOOL
VLP_HanniganGD_2017	MG100121	HUMAN	STOOL
VLP_HanniganGD_2017	MG100097	HUMAN	STOOL
VLP_HanniganGD_2017	MG100108	HUMAN	STOOL
VLP_HanniganGD_2017	MG100095	HUMAN	STOOL
VLP_KimY_2015	IH_harbor_water	ENVO	BALLAST WATER
VLP_KimY_2015	BH_harbor_water	ENVO	BALLAST WATER
VLP_KimY_2015	PB_ballast_water	ENVO	BALLAST WATER
VLP_KimY_2015	BB_ballast_water	ENVO	BALLAST WATER
VLP_KimY_2015	IB_ballast_water	ENVO	BALLAST WATER
VLP_KimY_2015	AB_ballast_water	ENVO	BALLAST WATER
VLP_KimY_2015	MB_ballast_water	ENVO	BALLAST WATER
VLP_KimY_2015	MH_harbor_wate	ENVO	BALLAST WATER
VLP_LimE_2015_MDA	B1_12_3480	HUMAN	STOOL
VLP_LimE_2015_MDA	A2_6_3710	HUMAN	STOOL
VLP_LimE_2015_MDA	A1_24_6377	HUMAN	STOOL
VLP_LimE_2015_MDA	B1_18_1568	HUMAN	STOOL
VLP_LimE_2015_MDA	A2_3_3467	HUMAN	STOOL
VLP_LimE_2015_MDA	A1_0_9167	HUMAN	STOOL
VLP_LimE_2015_MDA	A1_12_0834	HUMAN	STOOL
VLP_LimE_2015_MDA	B2_18_1797	HUMAN	STOOL
VLP_LimE_2015_MDA	A2_18_6574	HUMAN	STOOL
VLP_LimE_2015_MDA	B2_6_3463	HUMAN	STOOL
VLP_LimE_2015_MDA	A2_24_6583	HUMAN	STOOL
VLP_LimE_2015_MDA	B1_3_4708	HUMAN	STOOL
VLP_LimE_2015_MDA	A1_6_3707	HUMAN	STOOL
VLP_LimE_2015_MDA	B2_24_1824	HUMAN	STOOL
VLP_LimE_2015_MDA	B2_3_4724	HUMAN	STOOL
VLP_LimE_2015_MDA	D1_18_8340	HUMAN	STOOL
VLP_LimE_2015_MDA	B1_0_8199	HUMAN	STOOL
VLP_LimE_2015_MDA	B1_6_0912	HUMAN	STOOL
VLP_LimE_2015_MDA	A1_18_6364	HUMAN	STOOL
VLP_LimE_2015_MDA	B2_0_8680	HUMAN	STOOL
VLP_LimE_2015_MDA	B2_12_0802	HUMAN	STOOL
VLP_LimE_2015_MDA	C2_24_9052	HUMAN	STOOL
VLP_LimE_2015_MDA	D2_0_3840	HUMAN	STOOL
VLP_LimE_2015_MDA	B1_24_6604	HUMAN	STOOL
VLP_LimE_2015_MDA	C1_18_1815	HUMAN	STOOL
VLP_LimE_2015_MDA	D1_24_7512	HUMAN	STOOL
VLP_LimE_2015_MDA	A2_12_0860	HUMAN	STOOL
VLP_LimE_2015_MDA	D1_12_8367	HUMAN	STOOL
VLP_LimE_2015_MDA	A2_0_8584	HUMAN	STOOL
VLP_LimE_2015_MDA	C1_0_0245	HUMAN	STOOL
VLP_LimE_2015_MDA	C2_18_6333	HUMAN	STOOL
VLP_LimE_2015_MDA	C2_12_9723	HUMAN	STOOL
VLP_LimE_2015_MDA	D2_18_8216	HUMAN	STOOL
VLP_LimE_2015_MDA	D2_3_2028	HUMAN	STOOL
VLP_LimE_2015_MDA	A1_3_3483	HUMAN	STOOL
VLP_LimE_2015_MDA	D1_3_2131	HUMAN	STOOL
VLP_LimE_2015_MDA	D1_0_3848	HUMAN	STOOL
VLP_LimE_2015_MDA	C1_6_1171	HUMAN	STOOL
VLP_LimE_2015_MDA	D2_24_7517	HUMAN	STOOL
VLP_LimE_2015_MDA	C2_6_0838	HUMAN	STOOL
VLP_LimE_2015_MDA	D1_6_6691	HUMAN	STOOL
VLP_LimE_2015_MDA	D2_12_2062	HUMAN	STOOL
VLP_LimE_2015_MDA	C2_3_3337	HUMAN	STOOL
VLP_LimE_2015_MDA	C2_0_0238	HUMAN	STOOL
VLP_LimE_2015_MDA	C1_24_6608	HUMAN	STOOL
VLP_LimE_2015_MDA	C1_12_9721	HUMAN	STOOL
VLP_LimE_2015_MDA	C1_3_0019	HUMAN	STOOL
VLP_LimE_2015_MDA	D2_6_8614	HUMAN	STOOL
VLP_LimE_2015_SIA	A1_0_9167	HUMAN	STOOL
VLP_LimE_2015_SIA	D2_0_3840	HUMAN	STOOL
VLP_LimE_2015_SIA	C1_0_0245	HUMAN	STOOL
VLP_LimE_2015_SIA	D1_0_3848	HUMAN	STOOL
VLP_LimE_2015_SIA	C1_3_0019	HUMAN	STOOL
VLP_LimE_2015_SIA	C2_6_0838	HUMAN	STOOL
VLP_LimE_2015_SIA	D1_24_7512	HUMAN	STOOL
VLP_LimE_2015_SIA	C2_3_3337	HUMAN	STOOL
VLP_LimE_2015_SIA	A1_12_0834	HUMAN	STOOL
VLP_LimE_2015_SIA	C2_24_9052	HUMAN	STOOL
VLP_LimE_2015_SIA	A2_6_3710	HUMAN	STOOL
VLP_LimE_2015_SIA	B1_18_1568	HUMAN	STOOL
VLP_LimE_2015_SIA	C2_12_9723	HUMAN	STOOL
VLP_LimE_2015_SIA	C1_12_9721	HUMAN	STOOL
VLP_LimE_2015_SIA	A2_18_6574	HUMAN	STOOL
VLP_LimE_2015_SIA	B1_3_4708	HUMAN	STOOL
VLP_LimE_2015_SIA	C1_24_6608	HUMAN	STOOL
VLP_LimE_2015_SIA	B2_18_1797	HUMAN	STOOL
VLP_LimE_2015_SIA	A2_12_0860	HUMAN	STOOL
VLP_LimE_2015_SIA	B2_3_4724	HUMAN	STOOL
VLP_LimE_2015_SIA	C2_18_6333	HUMAN	STOOL
VLP_LimE_2015_SIA	D1_3_2131	HUMAN	STOOL
VLP_LimE_2015_SIA	B1_12_3480	HUMAN	STOOL
VLP_LimE_2015_SIA	A1_18_6364	HUMAN	STOOL
VLP_LimE_2015_SIA	C1_18_1815	HUMAN	STOOL
VLP_LimE_2015_SIA	B2_12_0802	HUMAN	STOOL
VLP_LimE_2015_SIA	B2_6_3463	HUMAN	STOOL
VLP_LimE_2015_SIA	D1_12_8367	HUMAN	STOOL
VLP_LimE_2015_SIA	D2_6_8614	HUMAN	STOOL
VLP_LimE_2015_SIA	D2_3_2028	HUMAN	STOOL
VLP_LimE_2015_SIA	A2_0_8584	HUMAN	STOOL
VLP_LimE_2015_SIA	A1_3_3483	HUMAN	STOOL
VLP_LimE_2015_SIA	B2_0_8680	HUMAN	STOOL
VLP_LimE_2015_SIA	D2_18_8216	HUMAN	STOOL
VLP_LimE_2015_SIA	B1_0_8199	HUMAN	STOOL
VLP_LimE_2015_SIA	A1_24_6377	HUMAN	STOOL
VLP_LimE_2015_SIA	D1_18_8340	HUMAN	STOOL
VLP_LimE_2015_SIA	C1_6_1171	HUMAN	STOOL
VLP_LimE_2015_SIA	D2_12_2062	HUMAN	STOOL
VLP_LimE_2015_SIA	A1_6_3707	HUMAN	STOOL
VLP_LimE_2015_SIA	B1_24_6604	HUMAN	STOOL
VLP_LimE_2015_SIA	B1_6_0912	HUMAN	STOOL
VLP_LimE_2015_SIA	B2_24_1824	HUMAN	STOOL
VLP_LimE_2015_SIA	A2_3_3467	HUMAN	STOOL
VLP_LimE_2015_SIA	D2_24_7517	HUMAN	STOOL
VLP_LimE_2015_SIA	A2_24_6583	HUMAN	STOOL
VLP_LimE_2015_SIA	D1_6_6691	HUMAN	STOOL
VLP_Limnopolar_2008	Soil-DNAVirome	ENVO	FRESHWATER
VLP_Limnopolar_2008	SedSpring_DNAVirome	ENVO	FRESHWATER
VLP_Limnopolar_2008	SedSummer-DNAVirome	ENVO	FRESHWATER
VLP_Limnopolar_2008	CyaMat-DNAVirome	ENVO	FRESHWATER
VLP_Lopez-Bueno_2009	Cierva-DNAVirome	ENVO	FRESHWATER
VLP_Lopez-Bueno_2009	Domo-DNAVirome	ENVO	FRESHWATER
VLP_Lopez-Bueno_2009	L2010_DNAVirome	ENVO	FRESHWATER
VLP_Lopez-Bueno_2009	Refugio-DNAVirome	ENVO	FRESHWATER
VLP_Lopez-Bueno_2009	Avian-DNAVirome	ENVO	FRESHWATER
VLP_Lopez-Bueno_2009	Green-DNAVirome	ENVO	FRESHWATER
VLP_LyM_2016	CA14BGutDay3	HUMAN	STOOL
VLP_LyM_2016	CA28DGutWeek8	HUMAN	STOOL
VLP_LyM_2016	CA24ESaliva	HUMAN	ORAL
VLP_LyM_2016	CA14CGutDay7	HUMAN	STOOL
VLP_LyM_2016	CA15BSaliva	HUMAN	ORAL
VLP_LyM_2016	CA23ASaliva	HUMAN	ORAL
VLP_LyM_2016	CA47EGutMonth6	HUMAN	STOOL
VLP_LyM_2016	CA87BSaliva	HUMAN	ORAL
VLP_LyM_2016	CA12DGutWeek8	HUMAN	STOOL
VLP_LyM_2016	CA47DSaliva	HUMAN	ORAL
VLP_LyM_2016	CA48CGutDay7	HUMAN	STOOL
VLP_LyM_2016	CA5ASaliva	HUMAN	ORAL
VLP_LyM_2016	CA13BGutDay3	HUMAN	STOOL
VLP_LyM_2016	CA14CSaliva	HUMAN	ORAL
VLP_LyM_2016	CA14DSaliva	HUMAN	ORAL
VLP_LyM_2016	CA16CSaliva	HUMAN	ORAL
VLP_LyM_2016	CA14BSaliva	HUMAN	ORAL
VLP_LyM_2016	CA13CGutDay7	HUMAN	STOOL
VLP_LyM_2016	CA28DSaliva	HUMAN	ORAL
VLP_LyM_2016	CA12AGutDay0	HUMAN	STOOL
VLP_LyM_2016	CA40BSaliva	HUMAN	ORAL
VLP_LyM_2016	CA28AGutDay0	HUMAN	STOOL
VLP_LyM_2016	CA15ASaliva	HUMAN	ORAL
VLP_LyM_2016	CA47ESaliva	HUMAN	ORAL
VLP_LyM_2016	CA24DSaliva	HUMAN	ORAL
VLP_LyM_2016	CA24DGutWeek8	HUMAN	STOOL
VLP_LyM_2016	CA11BGutDay3	HUMAN	STOOL
VLP_LyM_2016	CA16ESaliva	HUMAN	ORAL
VLP_LyM_2016	CA27BSaliva	HUMAN	ORAL
VLP_LyM_2016	CA48ASaliva	HUMAN	ORAL
VLP_LyM_2016	CA23ESaliva	HUMAN	ORAL
VLP_LyM_2016	CA15CGutDay7	HUMAN	STOOL
VLP_LyM_2016	CA5ESaliva	HUMAN	ORAL
VLP_LyM_2016	CA15DSaliva	HUMAN	ORAL
VLP_LyM_2016	CA47CSaliva	HUMAN	ORAL
VLP_LyM_2016	CA28BGutDay3	HUMAN	STOOL
VLP_LyM_2016	CA47AGutDay0	HUMAN	STOOL
VLP_LyM_2016	CA5BSaliva	HUMAN	ORAL
VLP_LyM_2016	CA90ASaliva	HUMAN	ORAL
VLP_LyM_2016	CA15AGutDay0	HUMAN	STOOL
VLP_LyM_2016	CA12CSaliva	HUMAN	ORAL
VLP_LyM_2016	CA40AGutDay0	HUMAN	STOOL
VLP_LyM_2016	CA12BSaliva	HUMAN	ORAL
VLP_LyM_2016	CA6DSaliva	HUMAN	ORAL
VLP_LyM_2016	CA5AGutDay0	HUMAN	STOOL
VLP_LyM_2016	CA24EGutMonth6	HUMAN	STOOL
VLP_LyM_2016	CA48AGutDay0	HUMAN	STOOL
VLP_LyM_2016	CA81DGutWeek8	HUMAN	STOOL
VLP_LyM_2016	CA47ASaliva	HUMAN	ORAL
VLP_LyM_2016	CA87DSaliva	HUMAN	ORAL
VLP_LyM_2016	CA28ESaliva	HUMAN	ORAL
VLP_LyM_2016	CA28CGutDay7	HUMAN	STOOL
VLP_LyM_2016	CA39AGutDay0	HUMAN	STOOL
VLP_LyM_2016	CA85BGutDay3	HUMAN	STOOL
VLP_LyM_2016	CA24CGutDay7	HUMAN	STOOL
VLP_LyM_2016	CA16DGutWeek8	HUMAN	STOOL
VLP_LyM_2016	CA13ESaliva	HUMAN	ORAL
VLP_LyM_2016	CA12DSaliva	HUMAN	ORAL
VLP_LyM_2016	CA5BGutDay3	HUMAN	STOOL
VLP_LyM_2016	CA48BGutDay3	HUMAN	STOOL
VLP_LyM_2016	CA16BSaliva	HUMAN	ORAL
VLP_LyM_2016	CA48CSaliva	HUMAN	ORAL
VLP_LyM_2016	CA39BGutDay3	HUMAN	STOOL
VLP_LyM_2016	CA90DGutWeek8	HUMAN	STOOL
VLP_LyM_2016	CA39BSaliva	HUMAN	ORAL
VLP_LyM_2016	CA85ASaliva	HUMAN	ORAL
VLP_LyM_2016	CA24CSaliva	HUMAN	ORAL
VLP_LyM_2016	CA48BSaliva	HUMAN	ORAL
VLP_LyM_2016	CA15DGutWeek8	HUMAN	STOOL
VLP_LyM_2016	CA85DSaliva	HUMAN	ORAL
VLP_LyM_2016	CA47BSaliva	HUMAN	ORAL
VLP_LyM_2016	CA85BSaliva	HUMAN	ORAL
VLP_LyM_2016	CA5DSaliva	HUMAN	ORAL
VLP_LyM_2016	CA23CGutDay7	HUMAN	STOOL
VLP_LyM_2016	CA81ESaliva	HUMAN	ORAL
VLP_LyM_2016	CA40ESaliva	HUMAN	ORAL
VLP_LyM_2016	CA12BGutDay3	HUMAN	STOOL
VLP_LyM_2016	CA40CSaliva	HUMAN	ORAL
VLP_LyM_2016	CA6ASaliva	HUMAN	ORAL
VLP_LyM_2016	CA24BGutDay3	HUMAN	STOOL
VLP_LyM_2016	CA6BGutDay3	HUMAN	STOOL
VLP_LyM_2016	CA48ESaliva	HUMAN	ORAL
VLP_LyM_2016	CA6CSaliva	HUMAN	ORAL
VLP_LyM_2016	CA81CSaliva	HUMAN	ORAL
VLP_LyM_2016	CA27CGutDay7	HUMAN	STOOL
VLP_LyM_2016	CA24AGutDay0	HUMAN	STOOL
VLP_LyM_2016	CA39DGutWeek8	HUMAN	STOOL
VLP_LyM_2016	CA11CSaliva	HUMAN	ORAL
VLP_LyM_2016	CA27DGutWeek8	HUMAN	STOOL
VLP_LyM_2016	CA39ESaliva	HUMAN	ORAL
VLP_LyM_2016	CA85CSaliva	HUMAN	ORAL
VLP_LyM_2016	CA11BSaliva	HUMAN	ORAL
VLP_LyM_2016	CA16ASaliva	HUMAN	ORAL
VLP_LyM_2016	CA13EGutMonth6	HUMAN	STOOL
VLP_LyM_2016	CA16AGutDay0	HUMAN	STOOL
VLP_LyM_2016	CA47BGutDay3	HUMAN	STOOL
VLP_LyM_2016	CA27CSaliva	HUMAN	ORAL
VLP_LyM_2016	CA12ASaliva	HUMAN	ORAL
VLP_LyM_2016	CA87ASaliva	HUMAN	ORAL
VLP_LyM_2016	CA39CSaliva	HUMAN	ORAL
VLP_LyM_2016	CA81ASaliva	HUMAN	ORAL
VLP_LyM_2016	CA81BGutDay3	HUMAN	STOOL
VLP_LyM_2016	CA40DSaliva	HUMAN	ORAL
VLP_LyM_2016	CA40DGutWeek8	HUMAN	STOOL
VLP_LyM_2016	CA11DGutWeek8	HUMAN	STOOL
VLP_LyM_2016	CA13BSaliva	HUMAN	ORAL
VLP_LyM_2016	CA48EGutMonth6	HUMAN	STOOL
VLP_LyM_2016	CA47DGutWeek8	HUMAN	STOOL
VLP_LyM_2016	CA13DGutWeek8	HUMAN	STOOL
VLP_LyM_2016	CA6EGutMonth6	HUMAN	STOOL
VLP_LyM_2016	CA16CGutDay7	HUMAN	STOOL
VLP_LyM_2016	CA39EGutMonth6	HUMAN	STOOL
VLP_LyM_2016	CA81BSaliva	HUMAN	ORAL
VLP_LyM_2016	CA6ESaliva	HUMAN	ORAL
VLP_LyM_2016	CA28ASaliva	HUMAN	ORAL
VLP_LyM_2016	CA12CGutDay7	HUMAN	STOOL
VLP_LyM_2016	CA48DGutWeek8	HUMAN	STOOL
VLP_LyM_2016	CA27EGutMonth6	HUMAN	STOOL
VLP_LyM_2016	CA23CSaliva	HUMAN	ORAL
VLP_LyM_2016	CA27ASaliva	HUMAN	ORAL
VLP_LyM_2016	CA15CSaliva	HUMAN	ORAL
VLP_LyM_2016	CA81CGutDay7	HUMAN	STOOL
VLP_LyM_2016	CA27ESaliva	HUMAN	ORAL
VLP_LyM_2016	CA23AGutDay0	HUMAN	STOOL
VLP_LyM_2016	CA16DSaliva	HUMAN	ORAL
VLP_LyM_2016	CA23BGutDay3	HUMAN	STOOL
VLP_LyM_2016	CA90DSaliva	HUMAN	ORAL
VLP_LyM_2016	CA23DSaliva	HUMAN	ORAL
VLP_LyM_2016	CA5CGutDay7	HUMAN	STOOL
VLP_LyM_2016	CA5EGutMonth6	HUMAN	STOOL
VLP_LyM_2016	CA13ASaliva	HUMAN	ORAL
VLP_LyM_2016	CA23EGutMonth6	HUMAN	STOOL
VLP_LyM_2016	CA27AGutDay0	HUMAN	STOOL
VLP_LyM_2016	CA14ASaliva	HUMAN	ORAL
VLP_LyM_2016	CA87ESaliva	HUMAN	ORAL
VLP_LyM_2016	CA11CGutDay7	HUMAN	STOOL
VLP_LyM_2016	CA85AGutDay0	HUMAN	STOOL
VLP_LyM_2016	CA27DSaliva	HUMAN	ORAL
VLP_LyM_2016	CA16BGutDay3	HUMAN	STOOL
VLP_LyM_2016	CA14EGutMonth6	HUMAN	STOOL
VLP_LyM_2016	CA81AGutDay0	HUMAN	STOOL
VLP_LyM_2016	CA87CSaliva	HUMAN	ORAL
VLP_LyM_2016	CA85ESaliva	HUMAN	ORAL
VLP_LyM_2016	CA24ASaliva	HUMAN	ORAL
VLP_LyM_2016	CA90CSaliva	HUMAN	ORAL
VLP_LyM_2016	CA28EGutMonth6	HUMAN	STOOL
VLP_LyM_2016	CA81DSaliva	HUMAN	ORAL
VLP_LyM_2016	CA13DSaliva	HUMAN	ORAL
VLP_LyM_2016	CA47CGutDay7	HUMAN	STOOL
VLP_LyM_2016	CA40BGutDay3	HUMAN	STOOL
